gene	UCEC	Rank
253827	2.2089468577656115	181.0
51514	2.2087620181934726	182.0
4939	2.2054228021443536	183.0
5427	2.199255060970818	184.0
9055	2.182062160816463	185.0
81030	2.181064728405048	186.0
122769	2.174298377583919	187.0
7042	2.1640690202712585	188.0
79682	2.158163833189517	189.0
7153	2.1581408334828334	190.0
79723	2.154425357382917	191.0
3480	2.1468393869792086	192.0
10112	2.1414398212863626	193.0
4313	2.1364789800660557	194.0
55789	2.130506222594013	195.0
25960	2.130401052573557	196.0
11200	2.1298319768569742	197.0
23594	2.1284741074846254	198.0
152330	2.1199823309671	199.0
2491	2.116494568058475	200.0
728833	2.1141157965632047	201.0
91624	2.111477064830736	202.0
11117	2.106248987238448	203.0
1164	2.104473436939265	204.0
4001	2.0965106356247416	205.0
147906	2.0955244226613017	206.0
800	2.094551818547276	207.0
857	2.093265626319314	208.0
56849	2.0919481171094207	209.0
6241	2.0834415073266026	210.0
11004	2.0759094675158827	211.0
4176	2.062416954001975	212.0
55038	2.0558403953209967	213.0
5159	2.052339706261366	214.0
80380	2.046870896740556	215.0
143689	2.036289734933555	216.0
4085	2.031646305247373	217.0
5327	2.02394810657738	218.0
100048912	2.019068079325101	219.0
11169	2.0154588664421307	220.0
113130	2.013602489719137	221.0
254228	2.005931799161351	222.0
6364	2.0050787636752534	223.0
10631	2.0003321607754456	224.0
3627	1.9948489798519076	225.0
4239	1.9852160516586488	226.0
57616	1.9786086423610847	227.0
389136	1.974850998096414	228.0
83461	1.970572880993016	229.0
3925	1.9627805034555557	230.0
5156	1.956220732707583	231.0
2191	1.9474109311089705	232.0
54821	1.9448836762104675	233.0
4772	1.938773605377512	234.0
4060	1.938708951056179	235.0
133308	1.9367835927675807	236.0
55722	1.9297652377668344	237.0
79772	1.9297651454083669	238.0
9918	1.928203111425308	239.0
219790	1.9262100692241697	240.0
9232	1.925943405105724	241.0
10376	1.9256288563934316	242.0
131578	1.92334564208507	243.0
6374	1.9219061495543288	244.0
1306	1.9182481522127892	245.0
1027	1.9181415428400448	246.0
81624	1.9087256930782663	247.0
6591	1.896939147313398	248.0
6772	1.8937160025733637	249.0
84823	1.8912695504459616	250.0
1291	1.883439377327761	251.0
91687	1.8828554762144465	252.0
1909	1.8795994702794576	253.0
55839	1.8711714192508744	254.0
54069	1.869658882721843	255.0
2248	1.8690012200333004	256.0
2537	1.8676881528920464	257.0
79651	1.867002641067948	258.0
6935	1.8551249520213844	259.0
284403	1.852057698634664	260.0
862	1.849757645409592	261.0
10926	1.838785605879918	262.0
991	1.835120203196204	263.0
10733	1.8308750913772331	264.0
3070	1.8293724622629373	265.0
1163	1.820865096515345	266.0
55732	1.8166082880213448	267.0
9358	1.810998468303396	268.0
11274	1.8057494020593936	269.0
259266	1.800919985832306	270.0
7443	1.7853180427391295	271.0
2023	1.7839549584838867	272.0
10346	1.775365499336366	273.0
4796	1.7740155080713114	274.0
11031	1.7610609722319843	275.0
85442	1.758653034333555	276.0
27299	1.757182058307738	277.0
4035	1.7568943047870254	278.0
26586	1.7521912849978003	279.0
85360	1.7463996705722835	280.0
4811	1.7326161982366173	281.0
