gene	KICH	Rank
23043	27.84524311018633	86.0
2066	27.83731401063364	87.0
2869	27.66466503983747	88.0
10000	27.31632843474929	89.0
1831	27.224317359034696	90.0
7048	27.131467114412946	91.0
79651	27.111306394190272	92.0
2735	27.081665804744947	93.0
8321	26.69448604589384	94.0
94	26.593167778573545	95.0
6517	26.42365915742733	96.0
2534	26.287381607506763	97.0
4794	26.02171076401685	98.0
10163	25.898572208878047	99.0
7855	25.767168765926403	100.0
23624	25.65415618276938	101.0
25974	25.451024329730338	102.0
894	24.580180898371538	103.0
780	24.5156910347997	104.0
1464	24.453231820614587	105.0
8395	24.43431179805986	106.0
578	24.366283308185604	107.0
8817	24.12500837926416	108.0
7837	24.107376498625555	109.0
3694	23.99619840005369	110.0
342977	23.966821881137115	111.0
5922	23.845381996433183	112.0
150094	23.76867958041653	113.0
283455	23.72691437935152	114.0
2048	23.520822366259495	115.0
5777	23.403485571229275	116.0
388697	23.33064341841732	117.0
3708	23.06999118985214	118.0
5603	23.06724579872364	119.0
9641	23.01750552862242	120.0
25759	22.923574046649737	121.0
80310	22.863612250717814	122.0
4861	22.821691183622438	123.0
2974	22.82126893872689	124.0
8835	22.283214379903004	125.0
2737	22.263326552382143	126.0
7068	22.162581988728	127.0
2736	22.030793840902994	128.0
8322	21.78748791803425	129.0
2821	21.73745189137507	130.0
7074	21.73654343148993	131.0
185	21.671192114337146	132.0
5141	21.639553269561198	133.0
6422	21.537685853052476	134.0
91947	21.510404368974104	135.0
7832	21.491977571901245	136.0
8399	21.48930345879904	137.0
6777	21.407337718430902	138.0
3690	21.24621216235776	139.0
3991	21.19733776815733	140.0
10252	21.179671586925505	141.0
5322	21.14237308652286	142.0
2919	20.95322797807965	143.0
50487	20.945544869472947	144.0
125	20.85960079032937	145.0
126	20.769378752420533	146.0
5602	20.719327792118573	147.0
2113	20.45188333881332	148.0
815	20.372652946364504	149.0
1020	20.17930874067403	150.0
3925	20.178904225024567	151.0
857	20.16675881456548	152.0
1556	20.15593393878657	153.0
7052	19.6628398554048	154.0
5320	19.476754026759497	155.0
4088	19.44596815372309	156.0
10045	19.34646720723231	157.0
5507	19.2740463058808	158.0
1978	19.239741610720547	159.0
7448	19.23260707850561	160.0
85417	19.202710350791875	161.0
960	19.180847693387783	162.0
79705	19.024793437494537	163.0
116496	19.01385744440123	164.0
9655	19.009312227140416	165.0
1562	18.938483140608067	166.0
23179	18.792664773614145	167.0
8313	18.771847026499582	168.0
6772	18.732247108871164	169.0
56924	18.712238084484447	170.0
8324	18.646869797889504	171.0
5241	18.64213597531894	172.0
22866	18.53361049642924	173.0
55034	18.52498452443487	174.0
9545	18.483000082897476	175.0
5165	18.348808827313626	176.0
124975	18.336745915622878	177.0
161742	18.234650370824504	178.0
420	18.20068838871676	179.0
220	18.196918207645837	180.0
11184	18.10407238735795	181.0
60312	18.068131939785367	182.0
51348	18.054906619305868	183.0
92745	18.00055677478341	184.0
3811	17.984158022344594	185.0
6382	17.951563043589232	186.0
2255	17.86291398207674	187.0
8688	17.859213082209326	188.0
7477	17.825164740573047	189.0
3559	17.592130858787876	190.0
115727	17.53685925984044	191.0
672	17.38360805580729	192.0
1545	17.378744895081937	193.0
8061	17.362353055999563	194.0
5613	17.33328549473947	195.0
79669	17.17919982214374	196.0
83596	17.160994144540872	197.0
5522	17.14824602740373	198.0
6497	17.135506269598086	199.0
2949	17.100298670430426	200.0
768	17.049108250855717	201.0
3977	16.98385699277051	202.0
1577	16.924930233399003	203.0
56034	16.914310796232705	204.0
3749	16.901912969200023	205.0
22821	16.769899848483956	206.0
5218	16.705345245915634	207.0
10256	16.510592208502757	208.0
8831	16.508552100140122	209.0
9119	16.504774510319887	210.0
57761	16.386353243074947	211.0
3611	16.3317070205815	212.0
2214	16.28093182325918	213.0
2248	16.261546318109705	214.0
