GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa04658	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa04659	3437	155	27	2	1	0.3189777963971512	0.42810177937512395
hsa04917	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa04919	3437	155	27	3	1	0.439158185268242	0.5599266862170086
hsa04933	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa04935	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa05010	3437	155	27	8	1	0.7920961085193909	0.8244265619283456
hsa05133	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa05140	3437	155	27	2	1	0.3189777963971512	0.42810177937512395
hsa05145	3437	155	27	1	1	0.17419354838709677	0.3172811059907834
hsa05152	3437	155	27	4	1	0.5387814023587516	0.6106189226732518
hsa05160	3437	155	27	12	10	2.7084342033214076e-07	4.604338145646393e-06
hsa05161	3437	155	27	8	4	0.031599899304098594	0.10743965763393522
hsa05162	3437	155	27	9	9	4.172735032698798e-08	1.0640474333381935e-06
hsa05164	3437	155	27	10	10	5.144467848532764e-09	2.62367860275171e-07
hsa05165	3437	155	27	10	5	0.015146327057863333	0.08582918666122555
hsa05167	3437	155	27	4	3	0.01694550331322527	0.08642206689744887
hsa05168	3437	155	27	9	8	2.571722485942259e-06	2.6231569356611042e-05
hsa05169	3437	155	27	11	7	0.00047512569582167417	0.0034616300695579113
hsa05170	3437	155	27	7	1	0.7457043310815692	0.80916852947149
hsa05171	3437	155	27	11	9	1.8128434537666813e-06	2.3113754035525188e-05
hsa05200	3437	155	27	9	2	0.4866046761397204	0.6052887434908717
hsa05202	3437	155	27	8	1	0.7920961085193909	0.8244265619283456
hsa05203	3437	155	27	13	1	0.9258040906760182	0.9443201724895386
hsa05212	3437	155	27	3	1	0.439158185268242	0.5599266862170086
hsa05235	3437	155	27	4	2	0.14028853399671332	0.3172811059907834
hsa05321	3437	155	27	2	1	0.3189777963971512	0.42810177937512395
hsa00520	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa00760	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa01100	445815	155	8	24	2	0.3589645285743616	0.3821235304178688
hsa01250	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa03030	445815	155	8	4	1	0.1927403466402767	0.26501797663038046
hsa04020	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa04110	445815	155	8	14	1	0.5397058562696635	0.5397058562696635
hsa04141	445815	155	8	6	2	0.031644821996305465	0.189247311827957
hsa04145	445815	155	8	5	1	0.23550906999708326	0.28784441888532397
hsa04151	445815	155	8	3	1	0.14789258812029213	0.244022770398482
hsa04540	445815	155	8	3	1	0.14789258812029213	0.244022770398482
hsa04550	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa04640	445815	155	8	5	1	0.23550906999708326	0.28784441888532397
hsa04657	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa04659	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa04915	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa04918	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa04921	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa04970	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa04972	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa05010	445815	155	8	8	1	0.35215876532058293	0.3821235304178688
hsa05012	445815	155	8	6	1	0.2762819195972388	0.32561797666817427
hsa05014	445815	155	8	4	1	0.1927403466402767	0.26501797663038046
hsa05016	445815	155	8	4	1	0.1927403466402767	0.26501797663038046
hsa05020	445815	155	8	4	1	0.1927403466402767	0.26501797663038046
hsa05022	445815	155	8	7	1	0.3151392661960447	0.3586067511886026
hsa05130	445815	155	8	1	1	0.05161290322580645	0.189247311827957
hsa05132	445815	155	8	2	2	0.0023460410557184746	0.07741935483870967
hsa05200	445815	155	8	9	1	0.38741543115347626	0.3995221633770224
hsa05207	445815	155	8	5	1	0.23550906999708326	0.28784441888532397
hsa05215	445815	155	8	3	1	0.14789258812029213	0.244022770398482
hsa05417	445815	155	8	3	1	0.14789258812029213	0.244022770398482
hsa05418	445815	155	8	2	1	0.10087976539589442	0.20806451612903223
hsa00240	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa01100	54809	155	30	24	1	0.9964668873466825	0.9964668873466825
hsa01232	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa01240	54809	155	30	4	1	0.5810046506640933	0.7073100095041137
hsa02010	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
hsa03008	54809	155	30	18	1	0.983933124740413	0.9964668873466825
hsa03018	54809	155	30	2	2	0.036447423544197735	0.14578969417679094
hsa03250	54809	155	30	5	2	0.24802821410575698	0.4629859996640797
hsa04062	54809	155	30	2	2	0.036447423544197735	0.14578969417679094
hsa04064	54809	155	30	1	1	0.1935483870967742	0.3737486095661846
