GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa05010	2633	155	29	8	1	0.8173678906038945	0.8654483547570647
hsa05133	2633	155	29	1	1	0.1870967741935483	0.3483870967741934
hsa05140	2633	155	29	2	1	0.3401759530791789	0.45923753665689154
hsa05145	2633	155	29	1	1	0.1870967741935483	0.3483870967741934
hsa05152	2633	155	29	4	1	0.5672670982268508	0.6517536873244669
hsa05160	2633	155	29	12	10	6.250904493558583e-07	1.125162808840545e-05
hsa05161	2633	155	29	8	4	0.04076392165852489	0.1375782355975215
hsa05162	2633	155	29	9	9	8.916475911977422e-08	2.407448496233904e-06
hsa05164	2633	155	29	10	10	1.221435056435267e-08	6.595749304750443e-07
hsa05165	2633	155	29	10	5	0.020916416563111568	0.10275649919567396
hsa05167	2633	155	29	4	3	0.020931879465785435	0.10275649919567396
hsa05168	2633	155	29	9	8	4.904061751587591e-06	5.296386691714599e-05
hsa05169	2633	155	29	11	7	0.0007910870535936821	0.00610267155629412
hsa05170	2633	155	29	7	1	0.7728609059611453	0.8517242637122826
hsa05171	2633	155	29	11	9	3.7668635955961368e-06	5.085265854054785e-05
hsa05200	2633	155	29	9	2	0.5291321805365707	0.6517536873244669
hsa05202	2633	155	29	8	1	0.8173678906038945	0.8654483547570647
hsa05203	2633	155	29	13	1	0.9401631169268317	0.976323236808633
hsa05212	2633	155	29	3	1	0.4652406417112296	0.5981665393430095
hsa05235	2633	155	29	4	3	0.020931879465785435	0.10275649919567396
hsa05321	2633	155	29	2	1	0.3401759530791789	0.45923753665689154
hsa00520	6947	155	11	2	1	0.1373271889400921	0.23720150816924998
hsa00983	6947	155	11	3	1	0.19934941718622912	0.25250926176922356
hsa01100	6947	155	11	24	1	0.8532328760448974	0.8532328760448974
hsa03320	6947	155	11	2	1	0.1373271889400921	0.23720150816924998
hsa04080	6947	155	11	3	1	0.19934941718622912	0.25250926176922356
hsa04142	6947	155	11	2	1	0.1373271889400921	0.23720150816924998
hsa04145	6947	155	11	5	2	0.04087278779781169	0.19414574203960555
hsa04613	6947	155	11	13	2	0.23180772445121492	0.2752716727858177
hsa04614	6947	155	11	2	1	0.1373271889400921	0.23720150816924998
hsa04621	6947	155	11	15	3	0.07559097941453415	0.23720150816924998
hsa04640	6947	155	11	5	1	0.3113958476497112	0.34803065325555954
hsa04657	6947	155	11	2	1	0.1373271889400921	0.23720150816924998
hsa05146	6947	155	11	2	2	0.0046082949308755665	0.030419294400092903
hsa05150	6947	155	11	6	3	0.004803046484225195	0.030419294400092903
hsa05202	6947	155	11	8	4	0.0008578162988283654	0.016298509677738944
hsa05221	6947	155	11	3	1	0.19934941718622912	0.25250926176922356
hsa05310	6947	155	11	1	1	0.07096774193548407	0.23720150816924998
hsa05322	6947	155	11	10	1	0.5319984036023742	0.5615538704691727
